"EG15_000 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_000.tcf]","Time(h)","F FC01.1_R [EG15_000]","F FC01.2_R [EG15_000]","F FC04.1_C [EG15_000]","F Pipe0 [EG15_000]","F Pipe1 [EG15_000]","F Pipe10 [EG15_000]","F Pipe11 [EG15_000]","F Pipe12 [EG15_000]","F Pipe13 [EG15_000]","F Pipe14 [EG15_000]","F Pipe15 [EG15_000]","F Pipe16 [EG15_000]","F Pipe17 [EG15_000]","F Pipe19 [EG15_000]","F Pipe2 [EG15_000]","F Pipe3 [EG15_000]","F Pipe4 [EG15_000]","F Pipe5 [EG15_000]","F Pipe6 [EG15_000]","F Pipe7 [EG15_000]","F Pipe8 [EG15_000]","F Pipe9 [EG15_000]","F Pit1 [EG15_000]","F Pit10 [EG15_000]","F Pit11 [EG15_000]","F Pit12 [EG15_000]","F Pit13 [EG15_000]","F Pit14 [EG15_000]","F Pit15 [EG15_000]","F Pit16 [EG15_000]","F Pit17 [EG15_000]","F Pit18 [EG15_000]","F Pit19 [EG15_000]","F Pit2 [EG15_000]","F Pit3 [EG15_000]","F Pit4 [EG15_000]","F Pit5 [EG15_000]","F Pit6 [EG15_000]","F Pit7 [EG15_000]","F Pit8 [EG15_000]","F Pit9 [EG15_000]"
     139,          2.300000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,R,R,D,D,R,D,D,R,D,D
     140,          2.316667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,R,D,D,D,R,R,R,D,R,D,D,R,D,D,D
     141,          2.333333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D
     142,          2.350000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,R,R,D,R,R,R,D,D,D,R,R,R,D,D
     143,          2.366667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,R,R,R,D,D,D,R,R,R,D,D
     144,          2.383333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,R,R,R,D,R,D,D,D,R,D,R
     145,          2.400000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,R,D,R,R,R,R,D,D,D,D,R,D,D,D
     146,          2.416667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,R,D,D,D,R,D,D,R,D,R,D,D,D,R,R,D
     147,          2.433333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,R,D,R,D,D,D,R,R,D,D,D,D,D,R,D,R,D
     148,          2.450000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,R,D,D,R,R,R,R,R,R,D,R,R,D,R
     149,          2.466667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,R,D,D,D,R,D,R,R,R,D,D,R,D,D,R,R,D
     150,          2.483333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,R,R,D,D,R,R,R,D,R,D,D,D,R,D,D
     151,          2.500000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,R,D,D,D,D,D,D,R,D,D,R,D,D,R,D,D,D
     152,          2.516667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,R,D,D,D,D,D,D,R,R,D,D,D,D,D,D,D,D
     153,          2.533334,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D
     154,          2.550000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     155,          2.566667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,R,D,D,D,D,D,D,D,D
     156,          2.583333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,R,R,D,R,D,D,D,D,R,D,R,D,D,D,D,R
     157,          2.600000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,R,R,D,D
     158,          2.616667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,R,R,D,D,D,D,R,D,D
     159,          2.633333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,R,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R
     160,          2.650000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     161,          2.666667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,R,R,R,D,D,D,R
     162,          2.683333,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D,R,D,D
     163,          2.700000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,R,D,D,R,D,D,D,D,D,R,D,D,R,R,D
     164,          2.716667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,R,R,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D
     165,          2.733334,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     166,          2.750000,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D
     167,          2.766667,A,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     168,          2.783334,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     169,          2.800000,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     170,          2.816667,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     171,          2.833333,A,J L,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,R,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D,R
     172,          2.850000,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,D,D,R,D,D,R,D,R,D,D,D,D,D,D
     173,          2.866667,A,J L,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,R,R,R,D,R,D,D,D,D,D,D,R,D,R
     174,          2.883333,A,J L,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D
     175,          2.900000,A,J L,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,R,R,D,R,D,D,D,R,D,R,D,D,D,D,D,D
     176,          2.916667,A,J L,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,D,D,R,D,D,D,D,D,R,D,D,D,D,D,D,R,D
     177,          2.933333,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,R,D,D,D,D,D,D,R,D,R,D,D,D,D,D,R,D
     178,          2.950000,A,J,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,R,D,R,D,R,D,R,D,R,D,D,D,D,D,R
     179,          2.966667,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     180,          2.983334,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     181,          3.000000,A,D,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,R,D,D,R,D,D,D,D
